PID,WORKSPACE,Import_Index,PARENT,CMODEL,SEQUENCE,OBJ,TRANSCRPT,THUMBNAIL,Title,Alternative_Titles,Personal_Names~Roles,Corporate_Names~Roles,Abstract,Index_Date,Date_Issued,Date_Captured,Other_Date~Display_Label,Publisher,Place_Of_Publication,Public_Notes~Types,Notes~Display_Label,Dates_as_Notes~Display_Label,Citations,Table_of_Contents,LCSH_Subjects,Subjects_Names~Types,Subjects_Geographic,Subjects_Temporal,Keywords,Coordinate,Related_Items~Types,Type_of_Resource~AuthorityURI,Genre~AuthorityURI,Extent,Form~AuthorityURI,MIME_Type,Digital_Origin,Classifications~Authorities,Language_Names~Codes,Local_Identifier,Handle,Physical_Location,Shelf_Locator,Access_Condition,Import_Source,Primary_Sort,Hidden_Creator,Pull_Quotes,Private_Notes~Types
grinnell:10023,grinnell_10023_MODS.log,1,grinnell:migration-test,islandora:binaryObjectCModel,,https://digital.grinnell.edu/islandora/object/grinnell:10023,,,Data Repository for Reproducible Research - collections.zip,Collections.zip,"Weinman, Jerod J. (Faculty/Staff) ~ creator",Grinnell College. Computer Science ~ supporting host,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically.",2014,,,21-Oct-2014,Grinnell College,,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically. Our principle goals are to modularize, document, and preserve all aspects of experimental data. So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation here, along with the full description of the parameters and guidelines of the data repository (provided to my research students) and source code for the utilities. ~ description",,,,,,,,21st century,Research Data Repository,,Syllabi and Curricular Materials ~ host | Faculty Scholarship ~ host | Scholarship at Grinnell ~ host | Digital Grinnell ~ host,,Geodatabases,1 file,,,born digital,QA76,English ~ eng,grinnell:10023,http://hdl.handle.net/11084/10023,,,"Copyright to this work is held by the ACM and by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10022,grinnell_10022_MODS.log,2,grinnell:migration-test,islandora:binaryObjectCModel,,https://digital.grinnell.edu/islandora/object/grinnell:10022,,,Data Repository for Reproducible Research - collections.tar,Collections.tar,"Weinman, Jerod J. (Faculty/Staff) ~ creator",Grinnell College. Computer Science ~ supporting host,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically.",2014,,,21-Oct-2014,Grinnell College,,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically. Our principle goals are to modularize, document, and preserve all aspects of experimental data. So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation here, along with the full description of the parameters and guidelines of the data repository (provided to my research students) and source code for the utilities. ~ description",,,,,,,,21st century,Research Data Repository,,Syllabi and Curricular Materials ~ host | Faculty Scholarship ~ host | Scholarship at Grinnell ~ host | Digital Grinnell ~ host,,Geodatabases,1 file,,,born digital,QA76,English ~ eng,grinnell:10022,http://hdl.handle.net/11084/10022,,,"Copyright to this work is held by the ACM and by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:1000,grinnell_1000_MODS.log,3,grinnell:migration-test,islandora:bookCModel,,https://digital.grinnell.edu/islandora/object/grinnell:1000,,,A Glimpse of the New Quadrangle For Women at Grinnell College,The New Quad,,Grinnell College ~ supporting,"A booklet describing the need for new women's housing, as well as photographs of the new housing being built. Printed circa 1915.",1915,1915,,,Grinnell College,,,,,,,Women college students | Dormitories | Grinnell College | College Buildings,,"Grinnell, Iowa",Nineteen tens,Women's Quadrangle,,Life at Grinnell College ~ host | Campus Buildings ~ host | Digital Grinnell ~ host,,book,14 pages,ink on paper,image/tiff,reformated digital,,English ~ eng,grinnell:1000,http://hdl.handle.net/11084/1000,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:23345,grinnell_23345_MODS.log,4,grinnell:migration-test,islandora:sp_pdf,,https://digital.grinnell.edu/islandora/object/grinnell:23345,,,Facilitating Collaborative Metadata Creation for Faculty-initiated Digital Projects,,"Knight, R. Cecilia (Faculty/Staff) ~ creator | Rodrigues, Elizabeth (Faculty/Staff) ~ creator | Ciota, Rebecca (Faculty/Staff) ~ creator",,"The usability and long-term preservation of digital humanities projects, such as a digital archive or other project built around digitized materials, depend on thoughtful and thorough metadata creation. The variety of expertise required to create highquality metadata for digital humanities projects practically requires a collaborative approach. Putting the call for collaboration into practice requires tools that are accessible and functional for all collaborators. Research on tools for metadata creation has tended to focus either on tools for librarians to manage digital project metadata or on tools for independent author metadata creation (Greenberg, 2003; Crystal & Greenberg, 2005). The literature has also tended to focus solely on the use of spreadsheets for metadata creation. Lincoln (2018) has discussed best practices for Google Sheets in archival metadata entry, and Broman and Woo (2017) have discussed best practices for spreadsheet data entry in general. This article positions tool selection and configuration as site of collaboration for the creation of digital project metadata through its examination of a Google Forms-based workflow for the creation and organization of metadata.",2020,,,,Grinnell College,,,,,,,,,,,metadata | Google Forms | digital humanities | collaborative workflow | undergraduate learning,,Digital Grinnell ~ host,text,,15 pages,,application/pdf,born digital,,English ~ en,grinnell:23345,http://hdl.handle.net/11084/23345,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",https://docs.google.com/spreadsheets/d/1IKrdw4NXM_XgFaDVo_8DYj9xlDRLhvYrFcfPhdRgcDw/edit#gid=464539922,99,,,
grinnell:10001,grinnell_10001_MODS.log,5,grinnell:migration-test,islandora:compoundCModel,,https://digital.grinnell.edu/islandora/object/grinnell:10001,,,Data Repository for Reproducible Research,,"Weinman, Jerod J. (Faculty/Staff) ~ creator",Grinnell College. Computer Science . ~ supporting host,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically.",2014,,,10/21/14,Grinnell College,,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically. Our principle goals are to modularize, document, and preserve all aspects of experimental data. So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation here, along with the full description of the parameters and guidelines of the data repository (provided to my research students) and source code for the utilities. ~ description",,,,,Archives | Reproducible research,,,,Research Data Repository,,Syllabi and Curricular Materials ~ host | Faculty Scholarship ~ host | Scholarship at Grinnell ~ host | Digital Grinnell ~ host,,,8 objects,,,,QA76,English ~ eng,grinnell:10001,http://hdl.handle.net/11084/10001,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10024,grinnell_10024_MODS.log,6,grinnell:migration-test,islandora:binaryObjectCModel,,https://digital.grinnell.edu/islandora/object/grinnell:10024,,,Data Repository for Reproducible Research - data.tar,Data.tar,"Weinman, Jerod J. (Faculty/Staff) ~ creator",Grinnell College. Computer Science ~ supporting host,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically.",2014,,,21-Oct-2014,Grinnell College,,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically. Our principle goals are to modularize, document, and preserve all aspects of experimental data. So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation here, along with the full description of the parameters and guidelines of the data repository (provided to my research students) and source code for the utilities. ~ description",,,,,,,,21st century,Research Data Repository,,Syllabi and Curricular Materials ~ host | Faculty Scholarship ~ host | Scholarship at Grinnell ~ host | Digital Grinnell ~ host,,Geodatabases,1 file,,,born digital,QA76,English ~ eng,grinnell:10024,http://hdl.handle.net/11084/10024,,,"Copyright to this work is held by the ACM and by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:10025,grinnell_10025_MODS.log,7,grinnell:migration-test,islandora:binaryObjectCModel,,https://digital.grinnell.edu/islandora/object/grinnell:10025,,,Data Repository for Reproducible Research - data.zip,Data.zip,"Weinman, Jerod J. (Faculty/Staff) ~ creator",Grinnell College. Computer Science ~ supporting host,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically.",2014,,,21-Oct-2014,Grinnell College,,"To promote reproducibility, since 2009 all my empirical research has been cached in a data repository that captures all source code and data dependencies automatically or semi-automatically. Our principle goals are to modularize, document, and preserve all aspects of experimental data. So that others may benefit from or adapt my methods, I provide a bit of motivation and explanation here, along with the full description of the parameters and guidelines of the data repository (provided to my research students) and source code for the utilities. ~ description",,,,,,,,21st century,Research Data Repository,,Syllabi and Curricular Materials ~ host | Faculty Scholarship ~ host | Scholarship at Grinnell ~ host | Digital Grinnell ~ host,,Geodatabases,1 file,,,born digital,QA76,English ~ eng,grinnell:10025,http://hdl.handle.net/11084/10025,,,"Copyright to this work is held by the ACM and by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
grinnell:19423,grinnell_19423_MODS.log,8,grinnell:migration-test,,,https://digital.grinnell.edu/islandora/object/grinnell:19423,,,Audrey (Bunny) Howard Swanson '43,,"Howard Swanson, Audrey (Bunny) (Class of 1943) ~ creator | Figa, Alenka (Class of 2012) ~ interviewer | Figa, Alenka (Class of 2012) ~ transcriber | Galloway, Lily (Class of 2017) ~ reviewer | McFate, Mackenzie (Class of 2018) ~ reviewer",Grinnell College. Office of College and Alumni Relations. ~ supporting host,"Alumni oral history interview with Audrey (Bunny) Howard Swanson '43. Recorded June 1, 2012.",1943,,,"June 1, 2012",Grinnell College,,,,,,,"Grinnell College. | Alumni and alumnae. | History. | Presidents. | Grinnell College. English Department., Women's Quadrangle (Grinnell). | Military service, Voluntary. | Draft. | Dibble Hall (Grinnell, Iowa).",,,,,,Digital Grinnell ~ host,sound recording-nonmusical,interview,34 minutes 16 seconds,,video/mpeg,born digital,,English ~ eng,grinnell:19423,http://hdl.handle.net/11084/19423,,,,,99,"Howard Swanson, Audrey (Bunny) '43","We had a tradition at the time of borrowing our boyfriend's sweater. He brought his and he started to slip it over my head. I knew, yes, I knew that as he brought that sweater down he was going to kiss me. It was most exciting.",
grinnell:23517,grinnell_23517_MODS.log,9,grinnell:migration-test,,,https://digital.grinnell.edu/islandora/object/grinnell:23517,,,A Circle of Students Sit Beneath a Tree in the Fall,,,,A circle of students lounge beneath a tree in the fall of 1995.,1995,September 1995,,,Grinnell College,,,,,,,,,Grinnell (Iowa),,Students | Fall | Student Life,,Digital Grinnell ~ host | Life at Grinnell College ~ host | Grinnell College. Special Collections and Archives ~ host,still image,photograph,1 photograph,,image/tiff,digitized other analog,,English ~ eng,grinnell:23517,http://hdl.handle.net/11084/23517,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",https://docs.google.com/spreadsheets/d/1PHdE-TXS39Xk_5JjHxIHVOOZ88Mlwt4lbPnhqCBFi5g/edit#gid=464539922,99,,,
grinnell:5593,grinnell_5593_MODS.log,10,grinnell:migration-test,islandora:sp-audioCModel,,https://digital.grinnell.edu/islandora/object/grinnell:5593,,,The Grinnell Beowulf: A Translation with Notes (Recorded Reading),,"Wendt, Aniela Kae (Class of 2014) ~ creator | Neubauer, Caleb Martin (Class of 2013) ~ illustrator | Whitman, Chloe Kate (Class of 2014) ~ creator | Shearer, B. Logan (Class of 2014) ~ creator | Miller, Jeanette Michelle (Class of 2014) ~ creator | Johnson, Emily Katherine (Class of 2014) ~ creator | Dawson, Evangeline (Class of 2014) ~ creator | Arner, Timothy D. (Faculty/Staff) ~ creator",Grinnell College. English ~ supporting host | Grinnell College. Press ~ supporting host,"A translation of Beowulf with notes by Timothy D. Arner, Eva Dawson, Emily Johnson, Jeanette Miller, Logan Shearer, Aniela Wendt, and Kate Whitman read aloud by the translators.",2014,41698,,2014-02,Grinnell College,,"A 21st century translation of Beowulf, complete with annotations, intended for an undergraduate audience created as a product of a Mentored Advanced Project. ~ description",,,,,"Poetry | Beowulf | Translations | Epic poetry, English (Old) | Dragons | Monsters",,Great Britain | Scandinavia,"Middle Ages, 500-1500",Mentored Advanced Project,,Mentored Advanced Project ~ host | Student Scholarship ~ host | Faculty Scholarship ~ host | Life at Grinnell College ~ host | Campus events ~ host | Scholarship at Grinnell ~ host | Digital Grinnell ~ host,,Audiobooks,1 recording,,video/mpeg,born digital,PR1583 .A76x 2013,English ~ eng,grinnell:5593,http://hdl.handle.net/11084/5593,,,"Copyright to this work is held by the author(s), in accordance with United States copyright law (USC 17). Readers of this work have certain rights as defined by the law, including but not limited to fair use (17 USC 107 et seq.).",,99,,,
